weather_comment,count
スッキリしない空,18352
日差しの活用を,16110
変わりやすい空,14268
穏やかな空,12956
梅雨の中休み,9830
強い日差し,8495
雲が優勢の空,8035
日差しが届いて,7930
熱中症に注意,7665
雲の多い空,7553
にわか雨が心配,6971
雨の降りやすい空,6518
青空が広がる,6354
急な雨に注意,6123
日差し届く,5927
晴れて穏やか,5912
傘が必須,5779
傘が活躍,5712
雲優勢の空,5640
日差しが届いても,5586
晴れて穏やかな空,5344
雨が降りやすく,5241
雨が降ったり止んだり,5150
強雨や雷に注意,5149
晴れていても,5079
日差しに油断禁物,4998
梅雨空,4961
折り畳み傘がお守り,4823
ニワカ雨が心配,4709
段々と太陽登場,4699
ムシムシ暑く,1776
蒸し暑く,1772
強い雨風や雷に注意,534
強い雨風や落雷に注意,527
強風に注意,427
不快な蒸し暑さ,1424
朝は霧に注意,182
朝は霧の発生に注意,18
紫外線に注意,608
午前中は濃霧が心配,144
朝晩肌寒くても,105
昼間も肌寒い,84
梅雨寒に注意,44
強い日差しが届く 紫外線対策を,311
紫外線対策をして日差しの活用を,3
天気急変に注意,3935
太陽サンサン,4616
天気下り坂,4148
雲が主役の空,4076
段々と雲増量,3839
