weather_comment,count
穏やかな空,55104
お出かけ日和,44061
秋晴れ,33418
スッキリしない空,32362
日差しが届いても,30966
変わりやすい空,26388
天気下り坂,23666
日差し届く,18361
日差しが届く,17200
穏やかな晴天,17120
穏やかな秋空,16664
穏やかな天気,16099
紅葉狩り日和,16053
雲優勢の空,16034
強雨や雷に注意,15798
日差しの活用を,15635
お出かけＯＫ,15264
段々と雲増量,15061
にわか雨が心配,14632
晴れたり曇ったり,14511
傘がお守り,14029
青空が広がる,13960
ニワカ雨が心配,13768
雲が優勢の空,13449
ニワカ雨に注意,12544
晴れても,11531
秋空が広がる,10950
雲の多い空,10654
青空広がる,10568
行楽日和,10286
にわか雪と冷たい強風,6
冷たい強風に注意,152
暴風雪に要注意,145
湿った雪の降る寒空,32
昼間は蒸し暑く,300
急な雨と蒸し暑さに注意,90
にわか雨に注意,9110
雲が主役の空,10154
穏やかな秋の空,9975
パッとしない空,9722
日が差しても,9635
日差したっぷり,9488
穏やかな秋晴れ,9007
日差し届くが,8719
段々と天気回復,8369
空気は乾燥気味,2919
爽やかな秋空,6729
昼間は暑さ対策必須,56
すっきりしない空,6855
天気は下り坂,6819
